Sector,Price,Built Up Area,Bedroom,Bathroom,Balcony,Others,Pooja Room,Servant Room,Store Room,Study Room,Floor Num,Total Floor,Facing_North,Facing_North-East,Facing_North-West,Facing_South,Facing_South-East,Facing_South-West,Facing_Unknown,Facing_West,Property Age,Overlooking_Club,Overlooking_Lake facing,Overlooking_Main Road,Overlooking_Others,Overlooking_Park,Overlooking_Pool,NearbyPlace_Business,NearbyPlace_Education,NearbyPlace_Financial,NearbyPlace_Healthcare,NearbyPlace_Leisure,NearbyPlace_Religious,NearbyPlace_Residentail,NearbyPlace_Shopping,NearbyPlace_Transport,Property Ownership,Furnishing,Power Backup,Covered_Parking,Open_Parking,Total Parking,Rating,Sector_encoded
Sector 33,2.65,1439,3,3,3,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,2,0,2,3.9,2
Sector 33,1.8,908,2,2,3,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,2,2,0,2,3.7,2
Sector 33,1.6,840,2,2,3,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,2,0,1,1,3.7,2
Sector 65,3.77,1889,3,4,3,0,0,1,0,0,24,34,0,0,0,0,0,0,0,1,2,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,2,2,0,2,3.8,3.2
Sector 65,2.4,1168,2,2,3,0,0,0,0,0,13,34,0,0,0,0,0,0,0,1,2,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,2,2,0,2,3.8,3.2
Sector 65,3.56,1755,3,3,3,0,0,0,0,0,12,34,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,2,2,1,3,3.8,3.2
Sector 65,3.2,1292,3,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,2,0,2,4.1,3.2
Sector 33,2.15,930,3,2,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,2,0,1,1,3.82,2
Sector 24,3.4,1600,4,4,2,0,0,0,0,0,9,20,0,0,0,0,0,0,0,0,4,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,3.72,4
Sector 24,4.75,2100,4,4,3,0,0,1,0,0,16,19,0,0,0,0,0,0,0,0,4,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,2,3.8,4
Sector 61,2.3,1278,2,2,1,0,0,1,0,0,12,32,0,0,0,0,0,0,0,1,3,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,2,2,0,2,3.6,2.7
Sector 61,3,1662,3,3,3,0,0,0,0,0,22,32,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,2,2,0,2,3.6,2.7
Sector 61,4.5,2700,4,4,3,0,0,1,0,0,21,32,0,0,0,0,0,0,0,1,3,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,2,2,0,2,3.6,2.7
Sector 61,3.5,2124,3,3,3,0,0,1,0,0,21,32,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,2,2,1,3,3.6,2.7
Sector 45,2.75,1675,3,3,2,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,3.8,2.9
Sector 48,2.7,1727,4,4,2,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,4,3.3
Sector 33,1.8,930,3,2,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,2,0,1,1,3.82,2
Sector 57,2.5,2441,3,3,2,0,1,1,0,1,1,4,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,2,2,1,3,3.48,2.8
Sector 50,2.95,1738,3,4,4,0,0,1,0,0,8,19,0,0,0,0,0,0,0,0,2,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,2,0,2,3.8,3.2
Sector 33,2.7,1459,3,3,3,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,2,0,2,3.9,2
Sector 33,2.25,930,3,2,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,2,0,1,1,3.86,2
Sector 43,2.85,2784,3,3,2,0,1,1,0,1,0,4,0,0,0,0,0,1,0,0,2,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,2,2,1,3,3.88,3.7
Sector 33,1.8,910,2,2,3,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,2,2,1,3,3.7,2
Sector 33,1.8,930,2,2,3,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,2,2,0,2,3.7,2
Sector 33,2.9,1750,3,3,4,0,0,1,0,1,8,11,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,2,0,2,3.9,2
Sector 33,2.25,1438,3,3,3,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,2,1,1,2,3.9,2
Sector 33,2.2,980,3,3,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,2,1,1,2,3.9,2
Sector 49,2.9,1671,3,3,4,0,0,0,1,0,10,14,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,2,1,0,1,4.1,3.2
Sector 57,2.55,2784,4,3,2,1,1,1,0,1,0,3,0,1,0,0,0,0,0,0,3,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,2,2,1,3,3.72,2.8
Sector 33,2.5,1500,3,3,3,1,0,0,0,0,8,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,1,0,1,3.9,2
Sector 82,1.25,1201,2,2,3,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,2,0,2,2,3.8,2.3
Sector 24,4.83,2250,4,4,3,0,0,1,0,0,11,19,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,2,3.8,4
Sector 33,3.7,1989,4,4,4,0,0,1,1,0,8,11,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,2,1,3,3.9,2
Sector 33,2.15,830,2,2,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,2,1,1,2,3.78,2
Sector 57,2.95,2951,5,5,2,1,0,0,0,0,-1,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,3,0,3,3.92,2.8
Sector 33,2.65,1475,3,3,3,0,0,0,0,1,6,11,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,1,0,1,3.9,2
Sector 33,1.55,850,2,2,3,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,2,0,1,1,3.7,2
Sector 33,2.1,890,2,2,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,2,1,1,2,3.7,2
Sector 33,2.75,1470,3,3,4,0,0,0,0,1,6,11,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,2,0,2,3.9,2
Sector 32,3.7,1990,3,3,3,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,2,1,1,2,3.72,3.3
Sector 33,3.7,1320,3,3,3,1,0,0,0,0,6,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,1,0,1,3.9,2
Sector 32,3.95,1990,3,3,3,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,2,2,1,3,3.72,3.3
Sector 32,3.9,2121,3,3,3,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,2,2,1,3,3.72,3.3
Sector 63,0.8,624,2,2,1,0,0,0,1,0,6,11,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,2,0,1,1,3.8,2.7
