property_type,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price
flat,33,6338.0,2,2,2,6.0,Relatively New,789.0,0,0,2,49,0.45
flat,82,9538.0,1,1,0,6.0,Relatively New,650.0,0,0,0,0,0.62
flat,90,5959.0,3,3,3+,9.0,Relatively New,1747.0,1,0,0,88,1.15
flat,83,6629.0,3,3,2,7.0,Relatively New,1570.0,0,0,1,74,1.4
house,57,20349.0,5,4,3+,2.0,Moderately Old,1548.0,0,1,1,60,3.15
flat,71,6049.0,3,3,3,0.0,Moderately Old,1466.0,0,0,0,65,0.98
flat,102,15514.0,3,3,3+,1.0,Relatively New,1465.0,0,0,0,49,1.75
flat,65,16667.0,3,3,3,2.0,Relatively New,3245.0,1,0,1,174,5.0
flat,65,15455.0,3,3,3,3.0,Relatively New,1650.0,1,0,0,21,2.55
flat,33,8267.0,3,3,3,2.0,Under Construction,2218.0,1,0,0,37,1.65
flat,106,8917.0,4,6,3+,6.0,Relatively New,2131.0,1,0,0,60,2.1
flat,9,6129.0,3,3,2,5.0,Moderately Old,1403.0,0,0,0,30,0.95
flat,109,10501.0,3,4,3,13.0,Relatively New,1860.0,1,0,0,165,2.2
flat,48,9485.0,3,3,1,2.0,Relatively New,1611.0,0,0,0,60,1.38
house,25,23438.0,5,5,3,2.0,Moderately Old,6400.0,1,0,1,112,15.0
flat,105,5600.0,3,2,1,0.0,Moderately Old,833.0,0,0,0,7,0.42
flat,61,15644.0,3,3,2,4.0,New Property,1630.0,0,0,0,30,2.55
flat,109,8897.0,3,4,3+,10.0,New Property,2339.0,1,0,0,74,2.3
flat,65,10159.0,4,3,2,1.0,Relatively New,3150.0,1,0,0,0,3.2
house,49,25562.0,2,6,3,3.0,Moderately Old,1467.0,0,0,0,49,3.75
flat,113,10589.0,4,4,3+,20.0,Under Construction,2886.0,1,0,2,57,2.75
flat,33,11179.0,3,3,3+,8.0,New Property,1619.0,0,0,0,23,2.0
flat,82,10176.0,3,3,3,15.0,Moderately Old,1677.0,0,0,0,38,1.85
flat,37,9286.0,3,3,2,3.0,Under Construction,1267.0,0,0,0,0,1.3
